"Graner handcuffed him to the bars of a cell window and left him there , feet dangling off the floor , for nearly five hours .",1.0,left,has part
"Graner handcuffed him to the bars of a cell window and left him there , feet dangling off the floor , for nearly five hours .",1.0,were dangling,developer
"Because of this association , St. Michael was considered to be the patron saint of colonial Maryland , and as such was honored by the river being named for him .",1.0,was the patron saint of,said to be the same as
"The show was designed to appear as if the viewer was channel surfing through a multi-channel wasteland , happening upon spoof adverts , short sketches , and recurring show elements .",1.0,was surfing through,platform
"The show was designed to appear as if the viewer was channel surfing through a multi-channel wasteland , happening upon spoof adverts , short sketches , and recurring show elements .",1.0,was happening upon,platform
"The show was designed to appear as if the viewer was channel surfing through a multi-channel wasteland , happening upon spoof adverts , short sketches , and recurring show elements .",1.0,was happening upon recurring,platform
"Dr. Jagan himself was personally involved in the organization of the strike , and helped to raise funds across the country to it .",1.0,was personally involved in,member of
"Dr. Jagan himself was personally involved in the organization of the strike , and helped to raise funds across the country to it .",1.0,involved in the organization of,member of
"Dr. Jagan himself was personally involved in the organization of the strike , and helped to raise funds across the country to it .",1.0,was personally helped to raise,developer
"In 1918 , the municipality was renamed Jones in honor of American congressman William Jones , who authored the Philippine Autonomy Act of 1916 that provided for greater autonomy for the Philippines under American colonial rule .",1.0,was renamed,follows
"In 1918 , the municipality was renamed Jones in honor of American congressman William Jones , who authored the Philippine Autonomy Act of 1916 that provided for greater autonomy for the Philippines under American colonial rule .",1.0,was Jones in,applies to jurisdiction
"In 1918 , the municipality was renamed Jones in honor of American congressman William Jones , who authored the Philippine Autonomy Act of 1916 that provided for greater autonomy for the Philippines under American colonial rule .",1.0,authored the Philippine Autonomy Act of,applies to jurisdiction
"In 1918 , the municipality was renamed Jones in honor of American congressman William Jones , who authored the Philippine Autonomy Act of 1916 that provided for greater autonomy for the Philippines under American colonial rule .",1.0,provided for,main subject
"Instead of ablating the tissue , the laser cuts a portion of the prostate , which is then cut into smaller pieces and flushed with irrigation fluid .",1.0,is ablating,platform
"Instead of ablating the tissue , the laser cuts a portion of the prostate , which is then cut into smaller pieces and flushed with irrigation fluid .",1.0,cuts a portion of,followed by
"Instead of ablating the tissue , the laser cuts a portion of the prostate , which is then cut into smaller pieces and flushed with irrigation fluid .",1.0,is then cut into,has part
"Instead of ablating the tissue , the laser cuts a portion of the prostate , which is then cut into smaller pieces and flushed with irrigation fluid .",1.0,is then flushed with,operating system
"He and his friends were said to have made bombs for fun on the outskirts of Murray , Utah .",1.0,have made bombs for,has part
"A large gravestone was erected in 1866 , over 100 years after his death .",1.0,was erected in,followed by
This led morning show host Ryan Cameron to lobby for a frequency change for WHTA by putting together a petition from listeners at the risk of losing his job under Radio One 's management .,1.0,led Ryan Cameron to,licensed to broadcast to
"The Institut Constant de Rebecque is a Swiss free-market , classical liberal and libertarian think tank founded in January 2005 in Lausanne , named after writer and political philosopher Benjamin Constant .",1.0,was founded in,location of formation
The main reason for this adoption over mainline gimp was its support for high bit depths which can be required for film work .,1.0,can be required for,platform
"The brightest star in Serpens , Alpha Serpentis , or Unukalhai , is a red giant of spectral type K2III located approximately away which marks the snake 's heart .",1.0,is a red giant of,constellation
"This manual for warriors describes the necessity for understanding an opponent 's weaknesses , for using spies , and for striking in moments of weakness .",1.0,describes,has part
"This manual for warriors describes the necessity for understanding an opponent 's weaknesses , for using spies , and for striking in moments of weakness .",1.0,are striking in moments of,characters
"This manual for warriors describes the necessity for understanding an opponent 's weaknesses , for using spies , and for striking in moments of weakness .",1.0,are using,developer
"This manual for warriors describes the necessity for understanding an opponent 's weaknesses , for using spies , and for striking in moments of weakness .",1.0,striking in moments of,has part
"This manual for warriors describes the necessity for understanding an opponent 's weaknesses , for using spies , and for striking in moments of weakness .",1.0,are understanding,has part
It was club policy to promote talent into the senior team that was adopted by Bill Dimovski .,1.0,was adopted by,main subject
"One major difference between the two models is that the Photographic Model follows more of a step-by-step process in the development of flashbulb accounts , whereas the Comprehensive Model demonstrates an interconnected relationship between the variables .",1.0,follows,followed by
"One major difference between the two models is that the Photographic Model follows more of a step-by-step process in the development of flashbulb accounts , whereas the Comprehensive Model demonstrates an interconnected relationship between the variables .",1.0,demonstrates an interconnected relationship between,platform
"That night , 300 soldiers of the 1st SS Battalion were able to reinforce the hotel and defeat several attacks on the building .",1.0,were able to reinforce,military branch
"That night , 300 soldiers of the 1st SS Battalion were able to reinforce the hotel and defeat several attacks on the building .",1.0,defeat several attacks on,participant
"That night , 300 soldiers of the 1st SS Battalion were able to reinforce the hotel and defeat several attacks on the building .",1.0,were able to reinforce,military branch
"His son , John Crozier , Jr. , was an early aviation pioneer who began building a human-powered flying machine in the 1890s , but was killed in a feud in Grainger County before he could complete it .",1.0,began building,developer
"His son , John Crozier , Jr. , was an early aviation pioneer who began building a human-powered flying machine in the 1890s , but was killed in a feud in Grainger County before he could complete it .",1.0,was killed in a feud in,residence
"Arminius , leader of the Cherusci and allies , now had a free hand .",1.0,had,developer
"Arminius , leader of the Cherusci and allies , now had a free hand .",1.0,were leader of,has part
"Arminius , leader of the Cherusci and allies , now had a free hand .",1.0,were leader of,has part
"The culture of Bhutan is fully reflected in the capital city in respect of literature , religion , customs , and national dress code , the monastic practices of the monasteries , music , dance , literature and in the media .",1.0,is fully reflected in,main subject
"The culture of Bhutan is fully reflected in the capital city in respect of literature , religion , customs , and national dress code , the monastic practices of the monasteries , music , dance , literature and in the media .",1.0,is fully reflected in,main subject
"The culture of Bhutan is fully reflected in the capital city in respect of literature , religion , customs , and national dress code , the monastic practices of the monasteries , music , dance , literature and in the media .",1.0,reflected in the capital city in,has part
"The culture of Bhutan is fully reflected in the capital city in respect of literature , religion , customs , and national dress code , the monastic practices of the monasteries , music , dance , literature and in the media .",1.0,reflected in the capital city in,has part
"The culture of Bhutan is fully reflected in the capital city in respect of literature , religion , customs , and national dress code , the monastic practices of the monasteries , music , dance , literature and in the media .",1.0,is fully reflected in,main subject
"The culture of Bhutan is fully reflected in the capital city in respect of literature , religion , customs , and national dress code , the monastic practices of the monasteries , music , dance , literature and in the media .",1.0,reflected in the capital city in,has part
"The culture of Bhutan is fully reflected in the capital city in respect of literature , religion , customs , and national dress code , the monastic practices of the monasteries , music , dance , literature and in the media .",1.0,was the monastic practices of,main subject
"`` My Classical Way '' was released on 21 September 2010 on Marc 's own label , Frazzy Frog Music .",1.0,was released on,record label
"`` My Classical Way '' was released on 21 September 2010 on Marc 's own label , Frazzy Frog Music .",1.0,was released on,record label
"`` My Classical Way '' was released on 21 September 2010 on Marc 's own label , Frazzy Frog Music .",1.0,was released on,record label
"In England and Wales , as an `` attempt '' , attempted murder is an offence under section 1 of the Criminal Attempts Act 1981 and is an indictable offence which carries a maximum penalty of life imprisonment .",1.0,is an offence under,applies to jurisdiction
"In England and Wales , as an `` attempt '' , attempted murder is an offence under section 1 of the Criminal Attempts Act 1981 and is an indictable offence which carries a maximum penalty of life imprisonment .",1.0,carries a maximum penalty of,main subject
Lugo and Lozano were released in 1993 and continue to reside in Venezuela .,1.0,were released in,developer
The school was founded in 1851 as the German-English Academy by a group of Milwaukee German Americans that included educationist Peter Engelmann and hardware wholesaler William Frankfurth .,1.0,was founded in,location of formation
The school was founded in 1851 as the German-English Academy by a group of Milwaukee German Americans that included educationist Peter Engelmann and hardware wholesaler William Frankfurth .,1.0,included,has part
The school was founded in 1851 as the German-English Academy by a group of Milwaukee German Americans that included educationist Peter Engelmann and hardware wholesaler William Frankfurth .,1.0,included,has part
The town and surrounding villages were hit by two moderate earthquakes within ten years .,1.0,were hit by,located on terrain feature
The town and surrounding villages were hit by two moderate earthquakes within ten years .,1.0,were hit by,located on terrain feature
The town and surrounding villages were hit by two moderate earthquakes within ten years .,1.0,were hit by,located on terrain feature
The town and surrounding villages were hit by two moderate earthquakes within ten years .,1.0,were hit by,located on terrain feature
The theatrical flourishes and unique gimmicks she used in her stage show went beyond established burlesque routines like the fan dance and balloon dance .,1.0,went beyond,developer
The theatrical flourishes and unique gimmicks she used in her stage show went beyond established burlesque routines like the fan dance and balloon dance .,1.0,went beyond,developer
The Cathedral and the belfry were thoroughly renovated from 2006 to 2008 .,1.0,were thoroughly renovated from,followed by
The Cathedral and the belfry were thoroughly renovated from 2006 to 2008 .,1.0,were thoroughly renovated from,followed by
"When the band is not touring , Peter Bywaters offers personal English as a second language tuition on a live-in basis at his home in Brighton .",1.0,offers,developer
"These screening activities include : review of group-based data ; hearing , vision , motor , and speech/language screening ; and review by the Special Education administration .",1.0,include,has part
"These screening activities include : review of group-based data ; hearing , vision , motor , and speech/language screening ; and review by the Special Education administration .",1.0,include,has part
"These screening activities include : review of group-based data ; hearing , vision , motor , and speech/language screening ; and review by the Special Education administration .",1.0,include,has part
"These screening activities include : review of group-based data ; hearing , vision , motor , and speech/language screening ; and review by the Special Education administration .",1.0,include,has part
"These screening activities include : review of group-based data ; hearing , vision , motor , and speech/language screening ; and review by the Special Education administration .",1.0,include,has part
"The Nazis did however permit a single dress rehearsal in Salzburg , conducted by Clemens Krauss on 16 August , in order that Strauss and an invited audience could hear the work performed .",1.0,did however permit,follows
"The Nazis did however permit a single dress rehearsal in Salzburg , conducted by Clemens Krauss on 16 August , in order that Strauss and an invited audience could hear the work performed .",1.0,was conducted by Clemens Krauss on,composer
"The Nazis did however permit a single dress rehearsal in Salzburg , conducted by Clemens Krauss on 16 August , in order that Strauss and an invited audience could hear the work performed .",1.0,was conducted by Clemens Krauss on,composer
Sligo town then became an incorporated municipal borough with a Royal Charter issued by the British King James I in 1613/14 .,1.0,was issued by James I in,main subject
Sligo town then became an incorporated municipal borough with a Royal Charter issued by the British King James I in 1613/14 .,1.0,was issued by James I in,main subject
Tom McMorran joined the band in 1994 after Mark Portmann left and in August of that year the band released `` Sahara '' .,1.0,joined,has part
23.8 % of all households were made up of individuals and 13.0 % had someone living alone who was 65 years of age or older .,1.0,were made up of,contains administrative territorial entity
23.8 % of all households were made up of individuals and 13.0 % had someone living alone who was 65 years of age or older .,1.0,were made up of,contains administrative territorial entity
23.8 % of all households were made up of individuals and 13.0 % had someone living alone who was 65 years of age or older .,1.0,had,followed by
23.8 % of all households were made up of individuals and 13.0 % had someone living alone who was 65 years of age or older .,1.0,had,followed by
"Overseas teams would not return to Russia until 1998 , when a youth tournament was held in Moscow .",1.0,return to,participating team
"Overseas teams would not return to Russia until 1998 , when a youth tournament was held in Moscow .",1.0,was held in,location
"The British Army had been shown to be overstretched by the Crimean War , while the mutiny in India had led to the responsibility for providing a garrison in the subcontinent from the Honourable East India Company to the Crown forces .",1.0,had led to,follows
"The British Army had been shown to be overstretched by the Crimean War , while the mutiny in India had led to the responsibility for providing a garrison in the subcontinent from the Honourable East India Company to the Crown forces .",1.0,was providing a garrison in,military branch
"The British Army had been shown to be overstretched by the Crimean War , while the mutiny in India had led to the responsibility for providing a garrison in the subcontinent from the Honourable East India Company to the Crown forces .",1.0,was providing a garrison in,military branch
The ninth leaf contains a circular world map measuring in circumference .,1.0,contains,has part
The ninth leaf contains a circular world map measuring in circumference .,1.0,is measuring in,operating system
"It hosts the `` Zomercarnaval '' , the second largest Caribbean carnival in Europe , originally called the Antillean carnival .",1.0,called,platform
The power cepstrum of a signal is defined as the squared magnitude of the inverse Fourier transform of the logarithm of the squared magnitude of the Fourier transform of a signal .,1.0,is defined as,followed by
"Many lodge members , youth and adult , are active staff members of both Scout and Cub Scout camps .",1.0,are active staff members of,has part
"For patients who do not recover quickly , the protocol also includes support groups and/or psychotherapy .",1.0,includes,has part
"Hofmann was born in Salt Lake City , Utah .",1.0,was born in,residence
"In 1962 , Salahuddin won from Patharghatti assembly seat as an Independent candidate and later from Charminar constituency in 1967 .",1.0,won from,successful candidate
"Around the `` triangle area , '' which includes Quanzhou , Xiamen and Zhangzhou , locals all speak Minnan languages .",1.0,includes,has part
"Though this time , the Brumbies won , 47 to 38 in front of a record crowd at Canberra Stadium .",1.0,won,participating team
A different judge then ordered the case reviewed by a higher court .,1.0,ordered,main subject
A different judge then ordered the case reviewed by a higher court .,1.0,was reviewed by,main subject
"For liquid-packed vessels , thermal relief valves are generally characterized by the relatively small size of the valve necessary to provide protection from excess pressure caused by thermal expansion .",1.0,are generally characterized by,has part
"For liquid-packed vessels , thermal relief valves are generally characterized by the relatively small size of the valve necessary to provide protection from excess pressure caused by thermal expansion .",1.0,was caused by,follows
"Callaghan 's decision on the Japanese pilot 's funeral in 1945 would receive praise years later , although a memorial service aboard the `` Missouri '' in April 2001 attracted controversy .",1.0,attracted,winner
"The RSNO 's base is at Henry Wood Hall in Glasgow and is also used as its recording venue ; a new base is being constructed within the Royal Concert Hall , Buchanan Street .",1.0,is at Henry Wood Hall in,location of formation
"The RSNO 's base is at Henry Wood Hall in Glasgow and is also used as its recording venue ; a new base is being constructed within the Royal Concert Hall , Buchanan Street .",1.0,is also used as,operator
"The RSNO 's base is at Henry Wood Hall in Glasgow and is also used as its recording venue ; a new base is being constructed within the Royal Concert Hall , Buchanan Street .",1.0,is being constructed within,has part
The 2005 model introduced a third row of seats to the Pathfinder line for the first time .,1.0,introduced a third row of,platform
The 2005 model introduced a third row of seats to the Pathfinder line for the first time .,1.0,introduced a third row of,platform
The district also provides recreation and leisure services to many non-residents of the area on a fee basis .,1.0,provides,follows
The very ease of acquiring Esperanto might even accelerate the process .,1.0,accelerate,platform
"The RSNO also performs throughout Scotland , at such venues as the Glasgow Royal Concert Hall , Usher Hall , Caird Hall , Aberdeen Music Hall , Perth Concert Hall and Eden Court Inverness .",1.0,performs throughout,location of formation
"Five years later , Alvarez was reunited with his family in New York and his father was able to start a business in Hoboken , New Jersey .",1.0,was reunited with,has part
"Five years later , Alvarez was reunited with his family in New York and his father was able to start a business in Hoboken , New Jersey .",1.0,was reunited with,has part
"Five years later , Alvarez was reunited with his family in New York and his father was able to start a business in Hoboken , New Jersey .",1.0,was able to start,developer
"Five years later , Alvarez was reunited with his family in New York and his father was able to start a business in Hoboken , New Jersey .",1.0,start a business in,developer
The Anti-Monitor began to siphon the positive matter of New York City to create his Antimatter waves .,1.0,began to siphon,developer
The Anti-Monitor began to siphon the positive matter of New York City to create his Antimatter waves .,1.0,siphon the positive matter of,developer
The Anti-Monitor began to siphon the positive matter of New York City to create his Antimatter waves .,1.0,create,developer
These tracks have subsequently been included on CD reissues of the album `` The Plan '' .,1.0,have subsequently been included on,followed by
These tracks have subsequently been included on CD reissues of the album `` The Plan '' .,1.0,been included on CD reissues of,followed by
"Davis released about 25 singles during his seven years with Dakar , most of them big R&B sellers produced by Willie Henderson .",1.0,released,performer
"Davis released about 25 singles during his seven years with Dakar , most of them big R&B sellers produced by Willie Henderson .",1.0,produced by,record label
"In 2010 , popular internet reviewers RedLetterMedia delivered a scathing video critique of the film , drawing negative comparisons to The Three Stooges , Looney Tunes , and `` Home Alone '' .",1.0,delivered a scathing video critique of,developer
"In 2010 , popular internet reviewers RedLetterMedia delivered a scathing video critique of the film , drawing negative comparisons to The Three Stooges , Looney Tunes , and `` Home Alone '' .",1.0,was drawing,developer
These skills were readily proven when squadrons and personnel were mobilized and recalled back to active duty during the Korean War and the Berlin Crisis .,1.0,recalled back to,military branch
"The doctor , Erasistratus , suspects love is behind Antiochus 's suffering .",1.0,suspects,has part
"The Lletty Shenkin explosion of 1849 , in particular , led to demands the local middle classes in Aberdare , for improved safety in the mines .",1.0,led to,follows
"In 1717 Lady Mary Wortley Montagu observed the practice in Istanbul and attempted to popularize it in Britain , but encountered considerable resistance .",1.0,observed,has part
"In 1717 Lady Mary Wortley Montagu observed the practice in Istanbul and attempted to popularize it in Britain , but encountered considerable resistance .",1.0,encountered,platform
"The two companies are teaming up again for the Future Vertical Lift prototype called SB-1 Defiant , where employees from both companies will work together .",1.0,are teaming,developer
"The film uses some computer-generated graphics : The northern lights in the scene where Inge walks through the fields to Olaf 's house to take a bath , and , later in the film , the geese flying over Olaf 's house .",1.0,uses,platform
"The film uses some computer-generated graphics : The northern lights in the scene where Inge walks through the fields to Olaf 's house to take a bath , and , later in the film , the geese flying over Olaf 's house .",1.0,walks through the fields to,characters
"The film uses some computer-generated graphics : The northern lights in the scene where Inge walks through the fields to Olaf 's house to take a bath , and , later in the film , the geese flying over Olaf 's house .",1.0,walks through the fields to,characters
"Legislation sponsored by Sweeney and signed into law provides state pensions to surviving family members of police , firefighters and emergency services workers who die in the line of duty , as well as the law that removes the remarriage prohibition to receive death benefits for spouses of police officers and firefighters killed while serving the public good .",1.0,sponsored by,applies to jurisdiction
"Legislation sponsored by Sweeney and signed into law provides state pensions to surviving family members of police , firefighters and emergency services workers who die in the line of duty , as well as the law that removes the remarriage prohibition to receive death benefits for spouses of police officers and firefighters killed while serving the public good .",1.0,signed into,main subject
"Legislation sponsored by Sweeney and signed into law provides state pensions to surviving family members of police , firefighters and emergency services workers who die in the line of duty , as well as the law that removes the remarriage prohibition to receive death benefits for spouses of police officers and firefighters killed while serving the public good .",1.0,provides state pensions to,main subject
"Legislation sponsored by Sweeney and signed into law provides state pensions to surviving family members of police , firefighters and emergency services workers who die in the line of duty , as well as the law that removes the remarriage prohibition to receive death benefits for spouses of police officers and firefighters killed while serving the public good .",1.0,removes the remarriage prohibition to,main subject
"Legislation sponsored by Sweeney and signed into law provides state pensions to surviving family members of police , firefighters and emergency services workers who die in the line of duty , as well as the law that removes the remarriage prohibition to receive death benefits for spouses of police officers and firefighters killed while serving the public good .",1.0,receive death benefits for,main subject
"Legislation sponsored by Sweeney and signed into law provides state pensions to surviving family members of police , firefighters and emergency services workers who die in the line of duty , as well as the law that removes the remarriage prohibition to receive death benefits for spouses of police officers and firefighters killed while serving the public good .",1.0,die in the line of,main subject
"Legislation sponsored by Sweeney and signed into law provides state pensions to surviving family members of police , firefighters and emergency services workers who die in the line of duty , as well as the law that removes the remarriage prohibition to receive death benefits for spouses of police officers and firefighters killed while serving the public good .",1.0,die in the line of,main subject
"The first single , `` Dreamer , '' features performances by keyboardist Philippe Saisse , and vocalists Jasmine Roy and Rebeca Vega .",1.0,is performances by,performer
Both companies are allies of Navigation Mixte in its fight against a hostile takeover bid launched last week by Cie .,1.0,are allies of,developer
Both companies are allies of Navigation Mixte in its fight against a hostile takeover bid launched last week by Cie .,1.0,are allies of,developer
Both companies are allies of Navigation Mixte in its fight against a hostile takeover bid launched last week by Cie .,1.0,was launched last week by,developer
Both companies are allies of Navigation Mixte in its fight against a hostile takeover bid launched last week by Cie .,1.0,was launched last week by,developer
"Salomon Brothers says , `` We believe the real estate properties would trade at a discount ... after the realty unit is spun off ... .",1.0,would trade at,developer
"However , Paul Johanson , Monsanto 's director of plant sciences , said the company 's chemical spray overcomes these problems and is `` gentle on the female organ . ''",1.0,overcomes,platform
Bioengineers set out to duplicate that feat -- scientifically and commercially -- with new life forms .,1.0,duplicate,developer
"The machine can run software written for other Mips computers , the company said .",1.0,can run,operating system
President Bush said that three members of his cabinet will lead a presidential mission to Poland to gauge how the U.S. can help the new non - Communist government 's economic changes .,1.0,will lead,follows
"Stephen McCartin , Mr. Hunt 's attorney , said his client welcomed the gamble .",1.0,welcomed,developer
One group of middle - aged manufacturing men from the company 's Zama plant outside Tokyo was supposed to check out a trendy restaurant in the city .,1.0,was supposed to check,has part
"Boyer and Cohen , for instance , both still university researchers , had to be talked into applying for a patent on their gene - splicing technique -- and then the Patent Office refused to grant it .",1.0,be talked into applying,developer
"His recent appearance at the Metropolitan Museum , dubbed `` A Musical Odyssey , '' was a case in point .",1.0,was a case in,platform
"His recent appearance at the Metropolitan Museum , dubbed `` A Musical Odyssey , '' was a case in point .",1.0,was dubbed,developer
"The brokerage firm tracks technology stocks with its Technology Index , which appreciated only 10.59 % in the first nine months of this year .",1.0,tracks,operating system
"The brokerage firm tracks technology stocks with its Technology Index , which appreciated only 10.59 % in the first nine months of this year .",1.0,appreciated,follows
"We finally rendezvoused with our balloon , which had come to rest on a dirt road amid a clutch of Epinalers who watched us disassemble our craft -- another half - an - hour of non - flight activity -- that included the precision routine of yanking the balloon to the ground , punching all the air out of it , rolling it up and cramming it and the basket into the trailer .",1.0,included the precision routine of,participant
A federation official attributed the decline to brisk demand from domestic industries backed by continuing economic expansion in Japan .,1.0,attributed,developer
A federation official attributed the decline to brisk demand from domestic industries backed by continuing economic expansion in Japan .,1.0,were backed by continuing,developer
"But it could also help American companies , which also are starting to try to open the market .",1.0,open,platform
A company spokesman did n't know Mr. Wakeman 's age .,1.0,did n't know,operating system
"The offering , Series 109 , is backed by Freddie Mac 10 % securities .",1.0,is backed by,owned by
The 10.48 % yield represents a spread to the 20 - year Treasury of 2.45 percentage points .,1.0,represents,followed by
"New York bonds , which have been hammered in recent weeks on the pending supply and reports that the city 's economy is growing weaker , rose 1\/2 point yesterday .",1.0,rose,follows
"New York bonds , which have been hammered in recent weeks on the pending supply and reports that the city 's economy is growing weaker , rose 1\/2 point yesterday .",1.0,have been hammered in,follows
"New York bonds , which have been hammered in recent weeks on the pending supply and reports that the city 's economy is growing weaker , rose 1\/2 point yesterday .",1.0,have been hammered in,follows
Four other countries in Europe have approved Proleukin in recent months .,1.0,have approved Proleukin in,operating system
Four other countries in Europe have approved Proleukin in recent months .,1.0,have approved Proleukin in,operating system
General Dynamics Corp. was given an $ 843 million Air Force contract for F - 16 aircraft and related equipment .,1.0,was given,developer
The divested Courtaulds textile operations had operating profit of # 50 million on # 980 million in revenue in the year ended March 31 .,1.0,had operating profit of,followed by
The divested Courtaulds textile operations had operating profit of # 50 million on # 980 million in revenue in the year ended March 31 .,1.0,had operating profit of,followed by
The divested Courtaulds textile operations had operating profit of # 50 million on # 980 million in revenue in the year ended March 31 .,1.0,was ended,follows
"A Coca - Cola spokesman said it is too early to say how the joint venture would be structured , or how much the company would invest in the transaction .",1.0,would invest in,owned by
We just want a plan that satisfies creditors and at the end leaves a healthy Revco . '',1.0,satisfies,platform
We just want a plan that satisfies creditors and at the end leaves a healthy Revco . '',1.0,leaves,platform
Some have been training for months ; others only recently left active status .,1.0,left,developer
The problem is that Japanese businesses make decisions with a view well beyond the coming months that weigh so heavily on Mr. Salinas .,1.0,make,developer
The problem is that Japanese businesses make decisions with a view well beyond the coming months that weigh so heavily on Mr. Salinas .,1.0,weigh so heavily on,has part
"A Ford spokesman said the Dearborn , Mich. , auto maker is n't aware of any injuries caused by the windshield problem .",1.0,is n't aware of,developer
"A Ford spokesman said the Dearborn , Mich. , auto maker is n't aware of any injuries caused by the windshield problem .",1.0,were caused by,main subject
"More big Japanese investors are buying U.S. mortgage - backed securities , reversing a recent trend .",1.0,are buying,platform
"More big Japanese investors are buying U.S. mortgage - backed securities , reversing a recent trend .",1.0,reversing,platform
"An alternative and more convincing explanation , confirmed by recent events and a close inspection of the Gorbachev program , is that the new Soviet economic and social structures are intended to conform to a model other than that of the market .",1.0,are confirmed by,developer
"An alternative and more convincing explanation , confirmed by recent events and a close inspection of the Gorbachev program , is that the new Soviet economic and social structures are intended to conform to a model other than that of the market .",1.0,are confirmed by,developer
"Earlier this year , President Bush made a final `` take - it - or - leave it '' offer on the minimum wage : an increase to $ 4.25 an hour over three years , and only if accompanied by a lower wage for the first six months of a job .",1.0,made,platform
"Earlier this year , President Bush made a final `` take - it - or - leave it '' offer on the minimum wage : an increase to $ 4.25 an hour over three years , and only if accompanied by a lower wage for the first six months of a job .",1.0,made,platform
"For owners who have followed the recommended oil maintenance schedule , Mazda will extend to five years or 60,000 miles the warranty term for engine damage due to abnormal engine oil deterioration .",1.0,will extend to,has part
"For owners who have followed the recommended oil maintenance schedule , Mazda will extend to five years or 60,000 miles the warranty term for engine damage due to abnormal engine oil deterioration .",1.0,will extend to,has part
"For owners who have followed the recommended oil maintenance schedule , Mazda will extend to five years or 60,000 miles the warranty term for engine damage due to abnormal engine oil deterioration .",1.0,will extend to,has part
"For owners who have followed the recommended oil maintenance schedule , Mazda will extend to five years or 60,000 miles the warranty term for engine damage due to abnormal engine oil deterioration .",1.0,have followed,platform
"The New York City issue included $ 757 million of tax - exempt bonds priced to yield between 6.50 % to 7.88 % , depending on the maturity .",1.0,included,has part
"Their laboratory credentials established , Boyer and Swanson headed for Wall Street in 1980 .",1.0,headed for,developer
Japan 's No. 111 4.6 % bond due 1998 ended the day on brokers screens at 95.11 to yield 5.43 % .,1.0,ended,follows
Armstrong World Industries Inc. agreed in principle to sell its carpet operations to Shaw Industries Inc .,1.0,agreed in,developer
"In stock - index arbitrage , traders buy and sell large amounts of stocks with offsetting trades in stock - index futures and options .",1.0,sell large amounts of,platform
